name,link,price,sku,review_count,
Plain Halter Triangle Bikini Swimsuit,https://us.shein.com/goods_detail_nsw/getCommentInfoByAbc?_ver=1.1.8&_lang=en&spu=w23022775891&goods_id=&page=1&limit=3&offset=0&sort=&size=&is_picture=&rule_id=recsrch_sort:A|recsrch_tag:A&tag_id=&local_site_abt_flag=&shop_id=&query_rank=1,0,sw2302277589119817,18,
Drawstring Side Criss Cross Backless Bikini Swimsuit,https://us.shein.com/goods_detail_nsw/getCommentInfoByAbc?_ver=1.1.8&_lang=en&spu=t23041920021&goods_id=&page=1&limit=3&offset=0&sort=&size=&is_picture=&rule_id=recsrch_sort:A|recsrch_tag:A&tag_id=&local_site_abt_flag=&shop_id=&query_rank=1,0,st2304192002118076,7,
Striped Ruched One Piece Swimsuit,https://us.shein.com/goods_detail_nsw/getCommentInfoByAbc?_ver=1.1.8&_lang=en&spu=W2005250259&goods_id=&page=1&limit=3&offset=0&sort=&size=&is_picture=&rule_id=recsrch_sort:A|recsrch_tag:A&tag_id=&local_site_abt_flag=&shop_id=&query_rank=1,0,sw2207115167615150,1000,
Striped Tape High Waisted Bikini Swimsuit,https://us.shein.com/goods_detail_nsw/getCommentInfoByAbc?_ver=1.1.8&_lang=en&spu=w21101486350&goods_id=&page=1&limit=3&offset=0&sort=&size=&is_picture=&rule_id=recsrch_sort:A|recsrch_tag:A&tag_id=&local_site_abt_flag=&shop_id=&query_rank=1,0,sw2203216529581151,1000,
SHEIN X Hangout Fest Floral Print Halter Triangle Bikini Swimsuit,https://us.shein.com/goods_detail_nsw/getCommentInfoByAbc?_ver=1.1.8&_lang=en&spu=w22122122635&goods_id=&page=1&limit=3&offset=0&sort=&size=&is_picture=&rule_id=recsrch_sort:A|recsrch_tag:A&tag_id=&local_site_abt_flag=&shop_id=&query_rank=1,0,sw2212212263537338,500,
SHEIN X Hangout Fest Rib Binding Trim Halter Micro Triangle Bikini Swimsuit,https://us.shein.com/goods_detail_nsw/getCommentInfoByAbc?_ver=1.1.8&_lang=en&spu=w21121783381&goods_id=&page=1&limit=3&offset=0&sort=&size=&is_picture=&rule_id=recsrch_sort:A|recsrch_tag:A&tag_id=&local_site_abt_flag=&shop_id=&query_rank=1,0,sw2112178338182947,1000,
Random Floral Print Halter Smocked Tie Side Bikini Swimsuit,https://us.shein.com/goods_detail_nsw/getCommentInfoByAbc?_ver=1.1.8&_lang=en&spu=w22022256616&goods_id=&page=1&limit=3&offset=0&sort=&size=&is_picture=&rule_id=recsrch_sort:A|recsrch_tag:A&tag_id=&local_site_abt_flag=&shop_id=&query_rank=1,0,sw2202225661603474,1000,
Ditsy Floral Print Ruched One Piece Swimsuit,https://us.shein.com/goods_detail_nsw/getCommentInfoByAbc?_ver=1.1.8&_lang=en&spu=w22110530075&goods_id=&page=1&limit=3&offset=0&sort=&size=&is_picture=&rule_id=recsrch_sort:A|recsrch_tag:A&tag_id=&local_site_abt_flag=&shop_id=&query_rank=1,0,sw2211053007577771,500,
Plaid Drawstring Bandeau Bikini Swimsuit,https://us.shein.com/goods_detail_nsw/getCommentInfoByAbc?_ver=1.1.8&_lang=en&spu=w22022545557&goods_id=&page=1&limit=3&offset=0&sort=&size=&is_picture=&rule_id=recsrch_sort:A|recsrch_tag:A&tag_id=&local_site_abt_flag=&shop_id=&query_rank=1,0,sw2204281355217503,1000,
Solid Bikini Set Crisscross Tie Back Bra & Overlap High Waisted Bottom 2 Piece Bathing Suit,https://us.shein.com/goods_detail_nsw/getCommentInfoByAbc?_ver=1.1.8&_lang=en&spu=w22121979707&goods_id=&page=1&limit=3&offset=0&sort=&size=&is_picture=&rule_id=recsrch_sort:A|recsrch_tag:A&tag_id=&local_site_abt_flag=&shop_id=&query_rank=1,0,sw2302206295187766,1000,
